Ship_Status,NDR_Remarks,Total_Attempts,AWB
Exception,Rejected,Attempt 2,STOC9000747304
Exception,Rejected,Attempt 1,STOC9000749103
RTO,Rejected,Attempt 1,STOC9000750020
Exception,Rejected,Attempt 1,STOC9000748574
RTO,Rejected,Attempt 1,STOC9000749767
RTO,Rejected,Attempt 1,STOC9000749548
RTO,Rejected,Attempt 1,STOC9000749120
Exception,Customer not available at given address and not reachable over phone,Attempt 3,14227883290407
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000749968
RTO,Rejected,Attempt 1,STOC9000749345
Exception,Rejected,Attempt 1,STOC9000749115
Out For Delivery,Request for reschedule,Attempt 1,STOC9000748961
RTO,Rejected,Attempt 1,STOC9000749070
RTO,70,Attempt 1,14227883289920
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000748375
RTO,Rejected,Attempt 1,STOC9000749021
RTO,70,Attempt 1,14227883290833
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000749489
RTO,Rejected,Attempt 1,STOC9000748086
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000749490
RTO,Rejected,Attempt 1,STOC9000749418
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000749959
Out For Delivery,Request for reschedule,Attempt 1,STOC9000748924
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000749229
Exception,PRF|RECEIVER REFUSED DELIVERY(CIR),Attempt 2,I40411944
Out For Delivery,Customer not available at given address and not reachable over phone,Attempt 1,14227883289462
RTO,Rejected,Attempt 1,STOC9000749310
Exception,Address is Junk,Attempt 1,SF915321985NIM
Exception,Customer not available at given address and not reachable over phone,Attempt 1,14227883290486
In Transit,Cancelled by customer,Attempt 1,SF915321988NIM
RTO,70,Attempt 1,14227883260567
Out For Delivery,Request for reschedule,Attempt 3,STOC9000745849
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000748570
Exception,Rejected,Attempt 1,STOC9000748875
Exception,Rejected,Attempt 1,STOC9000749027
Out For Delivery,Payment Issue,Attempt 1,SF915322022NIM
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000748352
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749550
RTO,Rejected,Attempt 1,STOC9000749456
RTO,Rejected,Attempt 1,STOC9000748123
Exception,70,Attempt 1,14227883289689
In Transit,Customer Not Responding,Attempt 2,STOC9000743109
RTO,Customer Not Responding,Attempt 3,STOC9000749671
Exception,70,Attempt 1,14227883289973
Exception,Rejected,Attempt 1,STOC9000749134
RTO,Rejected,Attempt 1,STOC9000749923
RTO,Rejected,Attempt 1,STOC9000748492
RTO,Customer Not Responding,Attempt 3,STOC9000749147
RTO,Rejected,Attempt 1,STOC9000749691
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749702
RTO,Rejected,Attempt 1,STOC9000747874
Exception,Rejected,Attempt 2,STOC9000749203
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000747212
RTO,Rejected,Attempt 1,STOC9000748015
Out For Delivery,77,Attempt 2,14227883288018
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000749947
RTO,Rejected,Attempt 2,STOC9000748769
Exception,Rejected,Attempt 1,STOC9000750184
RTO,Customer Not Responding,Attempt 2,STOC9000750144
In Transit,22,Attempt 1,14227883290508
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000748325
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000749978
Out For Delivery,Request for reschedule,Attempt 2,STOC9000748809
RTO,Rejected,Attempt 1,STOC9000749281
RTO,Rejected,Attempt 1,STOC9000749723
RTO,70,Attempt 1,14227883290145
Out For Delivery,Request for reschedule,Attempt 1,STOC9000746371
Out For Delivery,Customer not available at given address and not reachable over phone,Attempt 2,14227883289009
Exception,18,Attempt 2,14227883281617
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000749804
RTO,Rejected,Attempt 1,STOC9000750204
RTO,Rejected,Attempt 1,STOC9000749974
Exception,Rejected,Attempt 1,STOC9000749694
Exception,Undelivered,Attempt 2,14227883289959
Out For Delivery,Request for reschedule,Attempt 1,STOC9000748977
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000749218
Out For Delivery,Request for reschedule,Attempt 1,STOC9000748981
RTO,70,Attempt 1,14227883290451
Exception,Wrong Pincode,Attempt 1,14227883289748
RTO,70,Attempt 1,14227883288965
RTO,Rejected,Attempt 1,STOC9000749952
Exception,81,Attempt 1,14227883290510
RTO,Rejected,Attempt 1,STOC9000749802
RTO,Rejected,Attempt 1,STOC9000744496
RTO,Customer Not Responding,Attempt 3,STOC9000747611
Exception,Customer not available at given address and not reachable over phone,Attempt 2,14227883289972
RTO,Rejected,Attempt 1,STOC9000750043
Out For Delivery,Customer not available at given address and not reachable over phone,Attempt 1,14227883288734
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749800
RTO,Rejected,Attempt 1,STOC9000748652
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000748404
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000750049
Exception,Rejected,Attempt 1,STOC9000749961
Exception,Cancelled by customer,Attempt 2,SF915322126NIM
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000749166
Exception,Rejected,Attempt 1,STOC9000748760
RTO,70,Attempt 1,14227883289001
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749430
RTO,70,Attempt 1,14227883288898
RTO,Rejected,Attempt 2,STOC9000749498
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749941
RTO,70,Attempt 1,14227883289981
RTO,Customer Not Responding,Attempt 3,STOC9000748836
Exception,Rejected,Attempt 1,STOC9000750014
Exception,Rejected,Attempt 1,STOC9000748906
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749084
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000748537
Exception,Rejected,Attempt 1,STOC9000748208
RTO,70,Attempt 1,14227883290144
Exception,Rejected,Attempt 1,STOC9000750465
RTO,Rejected,Attempt 1,STOC9000748938
RTO,Rejected,Attempt 1,STOC9000749302
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000749569
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749780
Out For Delivery,Customer not available at given address and not reachable over phone,Attempt 2,14227883289918
RTO,Customer Not Responding,Attempt 3,STOC9000743504
RTO,Rejected,Attempt 1,STOC9000739287
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749748
RTO,Rejected,Attempt 1,STOC9000746784
Exception,Customer not contactable,Attempt 1,SF915322715NIM
Out For Delivery,Cancelled by customer,Attempt 1,SF915322747NIM
Delivered,Request for reschedule,Attempt 2,STOC9000749632
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749707
In Transit,22,Attempt 1,14227883287380
RTO,Rejected,Attempt 1,STOC9000750232
RTO,Rejected,Attempt 1,STOC9000749862
RTO,Rejected,Attempt 1,STOC9000749833
Exception,Rejected,Attempt 1,STOC9000722500
Exception,Rejected,Attempt 1,STOC9000749421
Exception,Rejected,Attempt 1,STOC9000749690
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000745079
RTO,70,Attempt 1,14227883290938
In Transit,22,Attempt 1,14227883289989
Out For Delivery,Customer Not Responding,Attempt 2,STOC9000747853
RTO,Request for reschedule,Attempt 2,STOC9000746599
RTO,Rejected,Attempt 1,STOC9000749738
Out For Delivery,Request for reschedule,Attempt 2,STOC9000749909
RTO,Rejected,Attempt 1,STOC9000690551
Exception,Rejected,Attempt 1,STOC9000749382
RTO,Rejected,Attempt 1,STOC9000750327
Out For Delivery,Request for reschedule,Attempt 2,STOC9000750529
Out For Delivery,Request for reschedule,Attempt 1,STOC9000750332
RTO,Rejected,Attempt 1,STOC9000750245
RTO,Rejected,Attempt 1,STOC9000749561
RTO,Rejected,Attempt 1,STOC9000749527
Exception,Rejected,Attempt 2,STOC9000747957
RTO,70,Attempt 1,14227883290194
RTO,Rejected,Attempt 1,STOC9000748904
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749860
Exception,Rejected,Attempt 1,STOC9000749884
Out For Delivery,Request for reschedule,Attempt 1,STOC9000750114
RTO,70,Attempt 1,14227883290429
RTO,Rejected,Attempt 1,STOC9000750446
RTO,Rejected,Attempt 1,STOC9000750569
Out For Delivery,Request for reschedule,Attempt 1,STOC9000750280
Exception,Rejected,Attempt 1,STOC9000748054
In Transit,22,Attempt 1,14227883289319
RTO,Rejected,Attempt 1,STOC9000749390
RTO,70,Attempt 1,14227883290102
Exception,Rejected,Attempt 1,STOC9000747134
Out For Delivery,Customer Not Responding,Attempt 1,STOC9000741761
RTO,Rejected,Attempt 1,STOC9000750129
Out For Delivery,Request for reschedule,Attempt 1,STOC9000748851
RTO,Customer Not Responding,Attempt 3,STOC9000749437
Out For Delivery,Customer not contactable,Attempt 2,SF915323189NIM
RTO,70,Attempt 2,14227883289035
Exception,PRF|RECEIVER REFUSED DELIVERY(CIR),Attempt 1,I40411954
RTO,Rejected,Attempt 1,STOC9000749899
RTO,Rejected,Attempt 2,STOC9000748145
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749958
RTO,Rejected,Attempt 1,STOC9000743689
Exception,Rejected,Attempt 1,STOC9000749575
RTO,Rejected,Attempt 1,STOC9000749633
RTO,Rejected,Attempt 1,STOC9000749989
Out For Delivery,Request for reschedule,Attempt 2,STOC9000747906
Out For Delivery,Request for reschedule,Attempt 1,STOC9000749545
Exception,Customer not contactable,Attempt 1,SF915323190NIM
Out For Delivery,Request for reschedule,Attempt 2,STOC9000750042
RTO,Rejected,Attempt 1,STOC9000749643
Out For Delivery,DELIVERY ATTEMPTED-PREMISES CLOSED,Attempt 1,77884899816
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884899831
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010942826
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010942852
Out For Delivery,Consignee Unavailable,Attempt 2,22679010942900
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010942911
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010942955
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884900892
Out For Delivery,Consignee Unavailable,Attempt 2,22679010942981
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010942992
Out For Delivery,Consignee Unavailable,Attempt 1,22679010943040
In Transit,NDR Call - FE remark correct,Attempt 1,22679010943062
Out For Delivery,NDR Call - FE remark correct,Attempt 1,22679010943073
Exception,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884901216
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010943084
Out For Delivery,Customer not available at given address and not reachable over phone,Attempt 1,14227883289139
Exception,Consignee Unavailable,Attempt 2,22679010943132
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010943143
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010943165
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010943202
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884901625
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010943235
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010943246
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010921012
Out For Delivery,Consignee Unavailable,Attempt 2,22679010920990
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010920905
Out For Delivery,Consignee Unavailable,Attempt 1,22679010920894
Out For Delivery,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,77884902104
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010920850
Exception,Consignee Unavailable,Attempt 1,22679010920835
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010920824
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010920765
Out For Delivery,Consignee Unavailable,Attempt 3,22679010920754
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010920743
Out For Delivery,Consignee Unavailable,Attempt 2,22679010920710
Exception,Incomplete address & contact details,Attempt 1,22679010920640
Exception,Incomplete address & contact details,Attempt 2,22679010920625
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010920603
Out For Delivery,Consignee Unavailable,Attempt 2,22679010920614
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010920592
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884902922
Out For Delivery,Consignee Unavailable,Attempt 2,22679010920566
Exception,Consignee Unavailable,Attempt 3,22679010920570
Delivered,Consignee Unavailable,Attempt 1,22679010920555
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884903040
Exception,CONSIGNEE NOT AVAILABLE,Attempt 1,77884903110
Out For Delivery,Consignee Unavailable,Attempt 1,22679010920522
Out For Delivery,NDR Call - FE remark correct,Attempt 1,22679010920500
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010920496
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010920485
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010920474
Exception,Consignee Unavailable,Attempt 1,22679010920452
Exception,NDR Call - FE remark correct,Attempt 2,22679010920441
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010920426
Exception,Consignee Unavailable,Attempt 1,22679010920393
In Transit,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 2,77884903386
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010920382
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884903445
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010920371
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884903515
Exception,NDR Call - FE remark correct,Attempt 1,22679010920275
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010920253
Out For Delivery,Consignee Unavailable,Attempt 1,22679010920264
Out For Delivery,Incomplete address & contact details,Attempt 1,22679010920242
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884903751
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010899640
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 2,22679010899662
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884930723
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884930734
Out For Delivery,NO SUCH CONSIGNEE AT THE GIVEN ADDRESS,Attempt 1,77884930826
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884930885
Out For Delivery,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 2,77884930922
Delivered,CONSIGNEE OUT OF STATION,Attempt 1,77884930981
Exception,NEED DEPARTMENT NAME/EXTENTION NUMBER,Attempt 2,77884931084
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884931121
Exception,CONSIGNEE OUT OF STATION,Attempt 1,77884931235
Exception,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,77884931320
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884931386
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884931412
Exception,"BULK ORDER, REFUSED BY CONSIGNEE",Attempt 1,77884931504
Exception,"BULK ORDER, REFUSED BY CONSIGNEE",Attempt 1,77884931541
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884931563
Out For Delivery,CONSIGNEE NOT AVAILABLE,Attempt 1,77884931655
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884931670
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884931784
Exception,CONSIGNEE OUT OF STATION,Attempt 1,77884931773
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884931795
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884931902
Out For Delivery,CONSIGNEE OUT OF STATION,Attempt 1,77884931876
Out For Delivery,CONSIGNEE NOT AVAILABLE,Attempt 1,77884931924
Exception,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884932053
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884932042
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884932134
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884932160
Out For Delivery,CONSIGNEE NOT AVAILABLE,Attempt 1,77884932171
Exception,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,77884932182
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884932193
Out For Delivery,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884932215
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884932285
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884932263
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884932296
Delivered,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884932436
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884932635
Exception,CONSIGNEE NOT AVAILABLE,Attempt 1,77884932694
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884932742
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884932764
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884933033
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884933011
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884933081
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884933066
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884933125
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 2,77884933103
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884933136
Out For Delivery,DELIVERY ATTEMPTED-PREMISES CLOSED,Attempt 2,77884933173
Exception,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884933232
Exception,CONSIGNEE OUT OF STATION,Attempt 1,77884933313
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 2,77884933335
Exception,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,77884933383
Delivered,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884933431
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884933486
Out For Delivery,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,77884933556
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 2,77884933571
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884933626
Exception,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,77884933685
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884933744
Exception,DELIVERY ATTEMPTED-PREMISES CLOSED,Attempt 1,77884933921
Delivered,NO SUCH CONSIGNEE AT THE GIVEN ADDRESS,Attempt 1,77884933910
Delivered,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884934002
Delivered,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884934024
In Transit,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884934046
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884934061
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884934201
Exception,"BULK ORDER, REFUSED BY CONSIGNEE",Attempt 1,77884934234
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884934304
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884934293
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884934444
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884934466
Out For Delivery,"BULK ORDER, REFUSED BY CONSIGNEE",Attempt 1,77884934540
In Transit,CONSIGNEE OUT OF STATION,Attempt 2,77884934525
Exception,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,77884934702
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884934805
Exception,CONSIGNEE OUT OF STATION,Attempt 1,77884935225
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 2,77884935284
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884935354
Exception,CONSIGNEE NOT AVAILABLE,Attempt 1,77884935380
Exception,NO SUCH CONSIGNEE AT THE GIVEN ADDRESS,Attempt 2,77884935446
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884935520
Out For Delivery,CONSIGNEE OUT OF STATION,Attempt 1,77884935645
In Transit,OUT OF DELIVERY AREA,Attempt 1,77884935726
Exception,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884935715
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884935800
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884935796
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884935844
Exception,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,77884935870
Delivered,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884935866
In Transit,The customer wants to get the order please deliver it ASAP.,Attempt 1,77884935881
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884935936
RTO,70,Attempt 1,14227883290419
Exception,Cancelled by customer,Attempt 1,SF915334514NIM
In Transit,22,Attempt 1,14227883289928
Exception,NO SUCH CONSIGNEE AT THE GIVEN ADDRESS,Attempt 1,77884950382
Exception,77,Attempt 1,14227883286441
In Transit,Cancelled by customer,Attempt 3,SF915334626NIM
Exception,Delivery attempt failed(Customer rejected),Attempt 1,SHBC7000145414
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,77884950953
Exception,Customer not contactable,Attempt 1,SF915334740NIM
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 3,77884951292
Exception,Delivery attempt failed(No response from customer),Attempt 1,SHBC7000147230
Exception,70,Attempt 1,14227883290569
Exception,Customer not contactable,Attempt 3,SF915334742NIM
Out For Delivery,Customer not contactable,Attempt 1,SF915334785NIM
In Transit,Customer not contactable,Attempt 2,SF915334794NIM
Out For Delivery,Cancelled by customer,Attempt 1,SF915334802NIM
Exception,Delivery attempt failed(Customer rejected),Attempt 1,SHBC7000147155
In Transit,Consignee Unavailable,Attempt 2,22679010866445
Out For Delivery,CONSIGNEE NOT AVAILABLE,Attempt 2,80400963985
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964055
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 2,80400964070
Delivered,DELIVERY ATTEMPTED-PREMISES CLOSED,Attempt 1,80400964114
Exception,CONSIGNEE OUT OF STATION,Attempt 2,80400964125
In Transit,OUT OF DELIVERY AREA,Attempt 1,80400964151
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964162
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 2,80400964210
Out For Delivery,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,80400964276
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964313
Out For Delivery,Consignee Unavailable,Attempt 1,22679010866471
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964346
Exception,NEED DEPARTMENT NAME/EXTENTION NUMBER,Attempt 1,80400964361
Out For Delivery,CONSIGNEE OUT OF STATION,Attempt 1,80400964416
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964420
Out For Delivery,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,80400964464
In Transit,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80400964475
Exception,Delivery Rescheduled by Customer,Attempt 1,22679010866493
In Transit,CONSIGNEE OUT OF STATION,Attempt 1,77884956531
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964534
Out For Delivery,CONSIGNEE OUT OF STATION,Attempt 2,80400964545
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964582
In Transit,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80400964641
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964674
Exception,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,80400964652
Out For Delivery,CONSIGNEE OUT OF STATION,Attempt 1,80400964663
Out For Delivery,Consignee Unavailable,Attempt 1,22679010866515
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 2,80400964744
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964825
In Transit,"BULK ORDER, REFUSED BY CONSIGNEE",Attempt 1,80400964840
Exception,NO SUCH CONSIGNEE AT THE GIVEN ADDRESS,Attempt 1,80400964884
In Transit,CONSIGNEE NOT AVAILABLE,Attempt 1,80400964895
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80400964943
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400964976
In Transit,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 2,80400964980
Out For Delivery,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,80400965035
In Transit,CONSIGNEE NOT AVAILABLE,Attempt 2,80400965002
Exception,CONSIGNEE'S ADDRESS UNLOCATABLE/LANDMARK NEEDED,Attempt 1,80400965153
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965201
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965190
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965212
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965223
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965245
Out For Delivery,Consignee Unavailable,Attempt 2,22679010866574
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965396
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965481
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965503
Delivered,"BULK ORDER, REFUSED BY CONSIGNEE",Attempt 1,80400965584
Exception,OUT OF DELIVERY AREA,Attempt 1,80400965621
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 2,80400965746
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80400965772
Exception,CONSIGNEE NOT AVAILABLE,Attempt 3,80400965820
Out For Delivery,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80400965842
Exception,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80400965934
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965945
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010866611
Out For Delivery,CONSIGNEE OUT OF STATION,Attempt 1,80400966026
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400965993
In Transit,CONSIGNEE'S ADDRESS INCOMPLETE/INCORRECT,Attempt 1,80400966041
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400966074
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400966063
In Transit,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400966100
Delivered,NEED DEPARTMENT NAME/EXTENTION NUMBER,Attempt 1,80400966144
Exception,CONSIGNEE REFUSED TO ACCEPT,Attempt 1,80400966133
